1.00000 0.99211 0.96858 0.92978 0.87631 0.80902 0.72897 0.63742
0.00000 0.12533 0.24869 0.36812 0.48175 0.58779 0.68455 0.77051
0.53583 0.42578 0.30902 0.18738 0.06279 -0.06279 -0.18738 -0.30902
0.84433 0.90483 0.95106 0.98229 0.99803 0.99803 0.98229 0.95106
-0.42578 -0.53583 -0.63742 -0.72897 -0.80902 -0.87631 -0.92978 -0.96858
0.90483 0.84433 0.77051 0.68455 0.58779 0.48175 0.36812 0.24869
-0.99211 -1.00000 -0.99211 -0.96858 -0.92978 -0.87631 -0.80902 -0.72897
0.12533 -0.00000 -0.12533 -0.24869 -0.36812 -0.48175 -0.58779 -0.68455
-0.63742 -0.53583 -0.42578 -0.30902 -0.18738 -0.06279 0.06279 0.18738
-0.77051 -0.84433 -0.90483 -0.95106 -0.98229 -0.99803 -0.99803 -0.98229
0.30902 0.42578 0.53583 0.63742 0.72897 0.80902 0.87631 0.92978
-0.95106 -0.90483 -0.84433 -0.77051 -0.68455 -0.58779 -0.48175 -0.36812
0.96858 0.99211 1.00000 2.00000 1.98423 1.93717 1.85955 1.75261
-0.24869 -0.12533 -0.00000 0.00000 0.25067 0.49738 0.73625 0.96351
1.61803 1.45794 1.27485 1.07165 0.85156 0.61803 0.37476 0.12558
1.17557 1.36909 1.54103 1.68866 1.80965 1.90211 1.96457 1.99605
-0.12558 -0.37476 -0.61803 -0.85156 -1.07165 -1.27485 -1.45794 -1.61803
1.99605 1.96457 1.90211 1.80965 1.68866 1.54103 1.36909 1.17557
-1.75261 -1.85955 -1.93717 -1.98423 -2.00000 -1.98423 -1.93717 -1.85955
0.96351 0.73625 0.49738 0.25067 -0.00000 -0.25067 -0.49738 -0.73625
-1.75261 -1.61803 -1.45794 -1.27485 -1.07165 -0.85156 -0.61803 -0.37476
-0.96351 -1.17557 -1.36909 -1.54103 -1.68866 -1.80965 -1.90211 -1.96457
-0.12558 0.12558 0.37476 0.61803 0.85156 1.07165 1.27485 1.45794
-1.99605 -1.99605 -1.96457 -1.90211 -1.80965 -1.68866 -1.54103 -1.36909
1.61803 1.75261 1.85955 1.93717 1.98423 2.00000
-1.17557 -0.96351 -0.73625 -0.49738 -0.25067 -0.00000
